EXTERNAL_COURSE_KEY|EXTERNAL_PERSON_KEY|ROLE|AVAILABLE_IND|ROW_STATUS|DATA_SOURCE_KEY
ISYS324_SEM2_2018|21550346|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21448554|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|20607175|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21415344|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21340924|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21504852|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21520808|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21530687|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21512766|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21445228|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21425217|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21423134|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21532040|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21523949|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21405291|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21351365|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21006315|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21235374|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21400852|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21400607|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21410214|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21555843|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21412612|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21555954|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21503038|student|Y|enabled|DUT_STUDENROL_2018
ISYS324_SEM2_2018|21519160|student|Y|enabled|DUT_STUDENROL_2018
